frequency,raw
20.0,101.761
20.144928,101.765
20.290907,101.768
20.437943,101.77
20.586044,101.772
20.73522,101.773
20.885475,101.775
21.036821,101.776
21.189262,101.777
21.342808,101.778
21.497467,101.778
21.653246,101.778
21.810154,101.778
21.968201,101.778
22.12739,101.776
22.287735,101.774
22.449242,101.771
22.611917,101.767
22.775772,101.762
22.940815,101.757
23.107054,101.75
23.274498,101.742
23.443153,101.734
23.613033,101.726
23.784142,101.717
23.956491,101.708
24.130091,101.699
24.304947,101.69
24.481071,101.681
24.65847,101.672
24.837156,101.663
25.017136,101.653
25.198421,101.644
25.38102,101.634
25.564941,101.623
25.750195,101.612
25.93679,101.601
26.124741,101.589
26.314051,101.576
26.504732,101.563
26.696796,101.55
26.890253,101.535
27.085112,101.521
27.281382,101.506
27.479073,101.49
27.678198,101.475
27.878765,101.459
28.080786,101.443
28.284271,101.427
28.489231,101.411
28.695675,101.395
28.903616,101.378
29.113064,101.361
29.324028,101.344
29.536524,101.327
29.750557,101.309
29.966141,101.291
30.183289,101.273
30.40201,101.255
30.622314,101.237
30.844217,101.219
31.067726,101.2
31.292856,101.181
31.519617,101.162
31.74802,101.143
31.978081,101.123
32.209808,101.102
32.443211,101.082
32.67831,101.061
32.915108,101.04
33.153625,101.018
33.393871,100.996
33.635857,100.974
33.879597,100.951
34.125103,100.927
34.372387,100.902
34.621464,100.877
34.872345,100.851
35.125042,100.825
35.379574,100.799
35.635948,100.773
35.89418,100.748
36.154285,100.723
36.416275,100.699
36.680161,100.675
36.945961,100.651
37.213688,100.627
37.483353,100.603
37.754974,100.579
38.028561,100.554
38.304131,100.529
38.581699,100.504
38.861279,100.478
39.142883,100.451
39.426529,100.425
39.712231,100.398
40.0,100.37
40.289856,100.343
40.581814,100.315
40.875885,100.287
41.172089,100.259
41.47044,100.23
41.77095,100.2
42.073643,100.17
42.378525,100.139
42.685616,100.108
42.994934,100.075
43.306492,100.042
43.620308,100.008
43.936401,99.974
44.25478,99.938
44.57547,99.901
44.898483,99.863
45.223835,99.824
45.551544,99.784
45.88163,99.744
46.214108,99.704
46.548996,99.663
46.886307,99.622
47.226067,99.58
47.568283,99.538
47.912983,99.496
48.260181,99.453
48.609894,99.41
48.962143,99.367
49.31694,99.323
49.674313,99.279
50.034271,99.234
50.396843,99.188
50.762039,99.141
51.129883,99.094
51.500389,99.047
51.873581,98.999
52.249481,98.949
52.628101,98.899
53.009464,98.847
53.393593,98.794
53.780506,98.741
54.170223,98.688
54.562763,98.635
54.958145,98.582
55.356396,98.529
55.75753,98.476
56.161572,98.423
56.568542,98.37
56.978462,98.317
57.39135,98.264
57.807232,98.211
58.226128,98.159
58.648056,98.107
59.073048,98.054
59.501114,98.002
59.932281,97.949
60.366577,97.896
60.80402,97.842
61.244629,97.789
61.688435,97.737
62.135452,97.684
62.585712,97.632
63.039234,97.579
63.49604,97.527
63.956161,97.474
64.419617,97.422
64.886421,97.37
65.356621,97.317
65.830215,97.265
66.307251,97.213
66.787743,97.161
67.271713,97.11
67.759193,97.059
68.250206,97.008
68.744774,96.958
69.242928,96.908
69.74469,96.858
70.250084,96.81
70.759148,96.762
71.271896,96.714
71.788361,96.668
72.308571,96.622
72.83255,96.576
73.360321,96.531
73.891922,96.486
74.427376,96.442
74.966705,96.4
75.509949,96.358
76.057121,96.318
76.608261,96.279
