frequency,raw
20.0,101.668
20.144928,101.632
20.290907,101.596
20.437943,101.56
20.586044,101.525
20.73522,101.49
20.885475,101.454
21.036821,101.419
21.189262,101.384
21.342808,101.349
21.497467,101.313
21.653246,101.277
21.810154,101.241
21.968201,101.205
22.12739,101.168
22.287735,101.131
22.449242,101.094
22.611917,101.057
22.775772,101.02
22.940815,100.983
23.107054,100.946
23.274498,100.909
23.443153,100.872
23.613033,100.836
23.784142,100.799
23.956491,100.762
24.130091,100.725
24.304947,100.689
24.481071,100.653
24.65847,100.617
24.837156,100.582
25.017136,100.547
25.198421,100.512
25.38102,100.477
25.564941,100.443
25.750195,100.408
25.93679,100.372
26.124741,100.336
26.314051,100.299
26.504732,100.261
26.696796,100.222
26.890253,100.182
27.085112,100.142
27.281382,100.101
27.479073,100.059
27.678198,100.018
27.878765,99.976
28.080786,99.934
28.284271,99.891
28.489231,99.848
28.695675,99.804
28.903616,99.758
29.113064,99.712
29.324028,99.664
29.536524,99.616
29.750557,99.567
29.966141,99.519
30.183289,99.47
30.40201,99.422
30.622314,99.374
30.844217,99.327
31.067726,99.28
31.292856,99.233
31.519617,99.186
31.74802,99.14
31.978081,99.094
32.209808,99.049
32.443211,99.005
32.67831,98.962
32.915108,98.92
33.153625,98.879
33.393871,98.839
33.635857,98.8
33.879597,98.761
34.125103,98.723
34.372387,98.686
34.621464,98.649
34.872345,98.613
35.125042,98.579
35.379574,98.545
35.635948,98.514
35.89418,98.483
36.154285,98.455
36.416275,98.427
36.680161,98.402
36.945961,98.378
37.213688,98.355
37.483353,98.335
37.754974,98.316
38.028561,98.299
38.304131,98.285
38.581699,98.272
38.861279,98.261
39.142883,98.251
39.426529,98.243
39.712231,98.237
40.0,98.233
40.289856,98.231
40.581814,98.231
40.875885,98.234
41.172089,98.24
41.47044,98.25
41.77095,98.262
42.073643,98.277
42.378525,98.295
42.685616,98.316
42.994934,98.34
43.306492,98.366
43.620308,98.395
43.936401,98.427
44.25478,98.462
44.57547,98.499
44.898483,98.539
45.223835,98.58
45.551544,98.623
45.88163,98.667
46.214108,98.711
46.548996,98.756
46.886307,98.801
47.226067,98.846
47.568283,98.891
47.912983,98.937
48.260181,98.983
48.609894,99.028
48.962143,99.072
49.31694,99.116
49.674313,99.159
50.034271,99.202
50.396843,99.245
50.762039,99.288
51.129883,99.331
51.500389,99.374
51.873581,99.417
52.249481,99.46
52.628101,99.503
53.009464,99.546
53.393593,99.589
53.780506,99.633
54.170223,99.677
54.562763,99.721
54.958145,99.766
55.356396,99.812
55.75753,99.859
56.161572,99.906
56.568542,99.955
56.978462,100.003
57.39135,100.053
57.807232,100.103
58.226128,100.152
58.648056,100.202
59.073048,100.252
59.501114,100.302
59.932281,100.352
60.366577,100.401
60.80402,100.449
61.244629,100.496
61.688435,100.542
62.135452,100.587
62.585712,100.63
63.039234,100.673
63.49604,100.714
63.956161,100.754
64.419617,100.794
64.886421,100.833
65.356621,100.871
65.830215,100.907
66.307251,100.942
66.787743,100.976
67.271713,101.007
67.759193,101.037
68.250206,101.065
68.744774,101.091
69.242928,101.114
69.74469,101.135
70.250084,101.154
70.759148,101.17
71.271896,101.184
71.788361,101.195
72.308571,101.204
72.83255,101.21
73.360321,101.213
73.891922,101.214
74.427376,101.213
74.966705,101.21
75.509949,101.204
76.057121,101.196
76.608261,101.185
77.163399,101.171
77.722557,101.155
78.285767,101.136
78.853058,101.114
79.424461,101.09
80.0,101.064
80.579712,101.035
81.163628,101.005
81.75177,100.971
82.344177,100.936
82.94088,100.898
83.541901,100.858
84.147285,100.815
84.75705,100.77
85.371231,100.723
85.989868,100.673
86.612984,100.62
87.240616,100.565
87.872803,100.508
88.50956,100.449
89.15094,100.387
89.796967,100.323
90.44767,100.256
91.103088,100.187
91.76326,100.116
92.428215,100.042
93.097992,99.966
93.772614,99.887
94.452133,99.806
95.136566,99.722
95.825966,99.636
96.520363,99.547
97.219788,99.456
97.924286,99.362
98.633881,99.266
99.348625,99.167
100.068542,99.066
100.793686,98.962
101.524078,98.855
102.259766,98.745
103.000778,98.633
103.747162,98.517
104.498962,98.399
105.256203,98.278
106.018929,98.154
106.787186,98.027
107.561012,97.896
108.340446,97.762
109.125526,97.624
109.91629,97.483
110.712791,97.338
111.51506,97.191
112.323143,97.041
113.137085,96.889
113.956924,96.734
114.7827,96.579
115.614464,96.422
116.452255,96.266
117.296112,96.111
118.146095,95.958
119.002228,95.808
119.864563,95.662
120.733154,95.521
121.60804,95.386
122.489258,95.258
123.376869,95.139
124.270905,95.028
125.171425,94.929
126.078468,94.84
126.992081,94.764
127.912323,94.699
128.839233,94.647
129.772842,94.605
130.713242,94.575
131.660431,94.554
132.614502,94.543
133.575485,94.538
134.543427,94.541
135.518387,94.548
136.500412,94.56
137.489548,94.576
138.485855,94.593
139.48938,94.613
140.500168,94.633
141.518295,94.652
142.543793,94.672
143.576721,94.69
144.617142,94.707
145.6651,94.722
146.720642,94.736
147.783844,94.747
148.854752,94.756
149.933411,94.764
151.019897,94.768
152.114243,94.771
153.216522,94.772
154.326797,94.77
155.445114,94.767
156.571533,94.761
157.706116,94.755
158.848923,94.747
160.0,94.738
161.159424,94.728
162.327255,94.717
163.50354,94.705
164.688354,94.692
165.88176,94.679
167.083801,94.664
168.294571,94.65
169.514099,94.635
170.742462,94.619
171.979736,94.604
173.225967,94.589
174.481232,94.574
175.745605,94.56
177.019119,94.546
178.30188,94.532
179.593933,94.519
180.89534,94.506
182.206177,94.493
183.52652,94.481
184.85643,94.47
186.195984,94.46
187.545227,94.45
188.904266,94.441
190.273132,94.432
191.651932,94.423
193.040726,94.414
194.439575,94.405
195.848572,94.395
197.267761,94.384
198.69725,94.372
200.137085,94.359
201.587372,94.346
203.048157,94.332
204.519531,94.317
206.001556,94.301
207.494324,94.283
208.997925,94.265
210.512405,94.245
212.037857,94.224
213.574371,94.2
215.122025,94.175
216.680893,94.146
218.251053,94.115
219.832581,94.081
221.425583,94.045
223.030121,94.006
224.646286,93.965
226.27417,93.922
227.913849,93.877
229.565399,93.831
231.228928,93.784
232.90451,93.736
234.592224,93.688
236.292191,93.641
238.004456,93.595
239.729126,93.55
241.466309,93.507
243.21608,93.467
244.978516,93.429
246.753738,93.394
248.541809,93.361
250.34285,93.33
252.156937,93.302
253.984161,93.275
255.824646,93.249
257.678467,93.224
259.545685,93.2
261.426483,93.176
263.320862,93.152
265.229004,93.128
267.15097,93.104
269.086853,93.079
271.036774,93.053
273.000824,93.027
274.979095,93.0
276.97171,92.973
278.97876,92.946
281.000336,92.919
283.036591,92.892
285.087585,92.864
287.153442,92.835
289.234283,92.805
291.3302,92.775
293.441284,92.743
295.567688,92.71
297.709503,92.675
299.866821,92.64
302.039795,92.604
304.228485,92.568
306.433044,92.533
308.653595,92.499
310.890228,92.468
313.143066,92.441
315.412231,92.418
317.697845,92.4
320.0,92.388
322.318848,92.38
324.65451,92.377
327.00708,92.376
329.376709,92.376
331.763519,92.377
334.167603,92.376
336.589142,92.373
339.028198,92.366
341.484924,92.357
343.959473,92.345
346.451935,92.331
348.962463,92.313
351.491211,92.294
354.038239,92.272
356.60376,92.249
359.187866,92.225
361.79068,92.2
364.412354,92.175
367.05304,92.149
369.71286,92.124
372.391968,92.1
375.090454,92.078
377.808533,92.057
380.546265,92.038
383.303864,92.021
386.081451,92.006
388.87915,91.991
391.697144,91.978
394.535522,91.965
397.394501,91.952
400.27417,91.939
403.174744,91.928
406.096313,91.917
409.039062,91.907
412.003113,91.899
414.988647,91.892
417.99585,91.888
421.024811,91.886
424.075714,91.886
427.148743,91.89
430.244049,91.896
433.361786,91.905
436.502106,91.916
439.665161,91.93
442.851166,91.945
446.060242,91.963
449.292572,91.982
452.54834,92.002
455.827698,92.024
459.130798,92.046
462.457855,92.07
465.809021,92.095
469.184448,92.121
472.584381,92.148
476.008911,92.177
479.458252,92.208
482.932617,92.24
486.432159,92.275
489.957031,92.311
493.507477,92.35
497.083618,92.39
500.685699,92.432
504.313873,92.475
507.968323,92.52
511.649292,92.565
515.356934,92.611
519.09137,92.657
522.852966,92.703
526.641724,92.749
530.458008,92.795
534.301941,92.84
538.173706,92.885
542.073547,92.928
546.001648,92.971
549.958191,93.014
553.94342,93.056
557.95752,93.099
562.000671,93.142
566.073181,93.186
570.175171,93.23
574.306885,93.274
578.468567,93.318
582.6604,93.364
586.882568,93.409
591.135376,93.456
595.419006,93.502
599.733643,93.549
604.07959,93.596
608.45697,93.644
612.866089,93.69
617.30719,93.737
621.780457,93.784
626.286133,93.83
630.824463,93.876
635.395691,93.922
640.0,93.968
644.637695,94.014
649.309021,94.06
654.01416,94.105
658.753418,94.152
663.527039,94.198
668.335205,94.244
673.178284,94.289
678.056396,94.333
682.969849,94.376
687.918945,94.416
692.90387,94.455
697.924927,94.493
702.982422,94.528
708.076477,94.562
713.20752,94.594
718.375732,94.625
723.58136,94.654
728.824707,94.682
734.106079,94.709
739.42572,94.733
744.783936,94.756
750.180908,94.778
755.617065,94.798
761.092529,94.816
766.607727,94.833
772.162903,94.847
777.758301,94.86
783.394287,94.871
789.071045,94.88
794.789001,94.886
800.54834,94.89
806.349487,94.893
812.192627,94.893
818.078125,94.892
824.006226,94.888
829.977295,94.882
835.991699,94.874
842.049622,94.863
848.151428,94.85
854.297485,94.834
860.488098,94.817
866.723572,94.797
873.004211,94.775
879.330322,94.751
885.702332,94.725
892.120483,94.697
898.585144,94.667
905.09668,94.635
911.655396,94.601
918.261597,94.565
924.91571,94.528
931.618042,94.49
938.368896,94.451
945.168762,94.41
952.017822,94.37
958.916504,94.329
965.865234,94.288
972.864319,94.247
979.914062,94.206
987.014954,94.167
994.167236,94.129
1001.371399,94.092
1008.627747,94.059
1015.936646,94.027
1023.298584,93.999
1030.713867,93.973
1038.182739,93.949
1045.705933,93.928
1053.283447,93.908
1060.916016,93.891
1068.603882,93.875
1076.347412,93.862
1084.147095,93.851
1092.003296,93.843
1099.916382,93.84
1107.886841,93.841
1115.915039,93.848
1124.001343,93.859
1132.146362,93.875
1140.350342,93.892
1148.61377,93.911
1156.937134,93.928
1165.320801,93.94
1173.765137,93.944
1182.270752,93.935
1190.838013,93.911
1199.467285,93.868
1208.15918,93.806
1216.91394,93.728
1225.732178,93.641
1234.61438,93.554
1243.560913,93.475
1252.572266,93.413
1261.648926,93.369
1270.791382,93.344
1280.0,93.338
1289.275391,93.346
1298.618042,93.366
1308.02832,93.395
1317.506836,93.429
1327.054077,93.466
1336.67041,93.505
1346.356567,93.544
1356.112793,93.583
1365.939697,93.623
1375.837891,93.661
1385.807739,93.7
1395.849854,93.738
1405.964844,93.777
1416.152954,93.817
1426.415039,93.86
1436.751465,93.905
1447.16272,93.954
1457.649414,94.007
1468.212158,94.065
1478.85144,94.127
1489.567871,94.193
1500.361816,94.264
1511.234131,94.34
1522.185059,94.421
1533.215454,94.506
1544.325806,94.597
1555.516602,94.692
1566.788574,94.792
1578.14209,94.897
1589.578003,95.007
1601.09668,95.119
1612.698975,95.234
1624.385254,95.35
1636.15625,95.465
1648.012451,95.576
1659.95459,95.683
1671.983398,95.781
1684.099243,95.87
1696.302856,95.948
1708.594971,96.012
1720.976196,96.064
1733.447144,96.103
1746.008423,96.131
1758.660645,96.15
1771.404663,96.161
1784.240967,96.165
1797.170288,96.165
1810.193359,96.162
1823.310791,96.156
1836.523193,96.148
1849.831421,96.14
1863.236084,96.13
1876.737793,96.12
1890.337524,96.111
1904.035645,96.102
1917.833008,96.093
1931.730469,96.086
1945.728638,96.079
1959.828125,96.074
1974.029907,96.07
1988.334473,96.068
2002.742798,96.068
2017.255493,96.07
2031.873291,96.073
2046.597168,96.078
2061.427734,96.086
2076.365479,96.097
2091.411865,96.112
2106.566895,96.133
2121.832031,96.159
2137.207764,96.191
2152.694824,96.23
2168.294189,96.274
2184.006592,96.324
2199.832764,96.381
2215.773682,96.445
2231.830078,96.516
2248.002686,96.596
2264.292725,96.684
2280.700684,96.777
2297.227539,96.876
2313.874268,96.976
2330.641602,97.076
2347.530273,97.173
2364.541504,97.266
2381.676025,97.354
2398.93457,97.437
2416.318359,97.516
2433.827881,97.59
2451.464355,97.661
2469.22876,97.729
2487.121826,97.795
2505.144531,97.86
2523.297852,97.924
2541.582764,97.987
2560.0,98.051
2578.550781,98.115
2597.236084,98.18
2616.056641,98.247
2635.013672,98.316
