frequency,raw
20.0,103.429
20.144928,103.389
20.290907,103.35
20.437943,103.311
20.586044,103.272
20.73522,103.234
20.885475,103.195
21.036821,103.154
21.189262,103.113
21.342808,103.07
21.497467,103.026
21.653246,102.98
21.810154,102.934
21.968201,102.888
22.12739,102.842
22.287735,102.797
22.449242,102.753
22.611917,102.71
22.775772,102.67
22.940815,102.631
23.107054,102.594
23.274498,102.558
23.443153,102.523
23.613033,102.488
23.784142,102.453
23.956491,102.417
24.130091,102.381
24.304947,102.344
24.481071,102.307
24.65847,102.27
24.837156,102.233
25.017136,102.197
25.198421,102.162
25.38102,102.128
25.564941,102.094
25.750195,102.06
25.93679,102.027
26.124741,101.993
26.314051,101.958
26.504732,101.923
26.696796,101.886
26.890253,101.848
27.085112,101.809
27.281382,101.769
27.479073,101.728
27.678198,101.686
27.878765,101.643
28.080786,101.598
28.284271,101.553
28.489231,101.505
28.695675,101.456
28.903616,101.405
29.113064,101.352
29.324028,101.298
29.536524,101.243
29.750557,101.187
29.966141,101.131
30.183289,101.075
30.40201,101.019
30.622314,100.964
30.844217,100.909
31.067726,100.855
31.292856,100.802
31.519617,100.749
31.74802,100.697
31.978081,100.646
32.209808,100.595
32.443211,100.546
32.67831,100.498
32.915108,100.45
33.153625,100.404
33.393871,100.359
33.635857,100.314
33.879597,100.271
34.125103,100.23
34.372387,100.189
34.621464,100.15
34.872345,100.113
35.125042,100.076
35.379574,100.04
35.635948,100.004
35.89418,99.97
36.154285,99.937
36.416275,99.905
36.680161,99.874
36.945961,99.846
37.213688,99.819
37.483353,99.793
37.754974,99.769
38.028561,99.746
38.304131,99.725
38.581699,99.704
38.861279,99.684
39.142883,99.666
39.426529,99.649
39.712231,99.634
40.0,99.621
40.289856,99.611
40.581814,99.603
40.875885,99.598
41.172089,99.596
41.47044,99.596
41.77095,99.599
42.073643,99.605
42.378525,99.614
42.685616,99.626
42.994934,99.641
43.306492,99.66
43.620308,99.681
43.936401,99.706
44.25478,99.733
44.57547,99.763
