* Freq(Hz), SPL(dB)
20,100.61
20.144928,100.612
20.290907,100.613
20.437943,100.614
20.586044,100.616
20.73522,100.616
20.885475,100.617
21.036821,100.618
21.189262,100.618
21.342808,100.619
21.497467,100.62
21.653246,100.621
21.810154,100.622
21.968201,100.623
22.12739,100.624
22.287735,100.625
22.449242,100.626
22.611917,100.627
22.775772,100.628
22.940815,100.629
23.107054,100.63
23.274498,100.631
23.443153,100.631
23.613033,100.631
23.784142,100.632
23.956491,100.632
24.130091,100.633
24.304947,100.634
24.481071,100.635
24.65847,100.636
24.837156,100.637
25.017136,100.638
25.198421,100.639
25.38102,100.64
25.564941,100.641
25.750195,100.641
25.93679,100.641
26.124741,100.641
26.314051,100.64
26.504732,100.639
26.696796,100.638
26.890253,100.636
27.085112,100.634
27.281382,100.632
27.479073,100.629
27.678198,100.627
27.878765,100.625
28.080786,100.623
28.284271,100.62
28.489231,100.618
28.695675,100.616
28.903616,100.613
29.113064,100.611
29.324028,100.608
29.536524,100.604
29.750557,100.6
29.966141,100.595
30.183289,100.59
30.40201,100.584
30.622314,100.577
30.844217,100.569
31.067726,100.561
31.292856,100.552
31.519617,100.544
31.74802,100.536
31.978081,100.528
32.209808,100.52
32.443211,100.513
32.67831,100.506
32.915108,100.498
33.153625,100.491
33.393871,100.482
33.635857,100.473
33.879597,100.464
34.125103,100.453
34.372387,100.442
34.621464,100.431
34.872345,100.42
35.125042,100.408
35.379574,100.397
35.635948,100.385
35.89418,100.374
36.154285,100.363
36.416275,100.352
36.680161,100.341
36.945961,100.33
37.213688,100.318
37.483353,100.306
37.754974,100.293
38.028561,100.279
38.304131,100.265
38.581699,100.251
38.861279,100.236
39.142883,100.221
39.426529,100.205
39.712231,100.19
40,100.175
40.289856,100.159
40.581814,100.142
40.875885,100.125
41.172089,100.107
41.47044,100.089
41.77095,100.07
42.073643,100.052
42.378525,100.033
42.685616,100.014
42.994934,99.995
43.306492,99.976
43.620308,99.957
43.936401,99.936
44.25478,99.915
44.57547,99.893
44.898483,99.871
45.223835,99.848
45.551544,99.825
45.88163,99.801
46.214108,99.778
46.548996,99.753
46.886307,99.729
47.226067,99.705
47.568283,99.68
47.912983,99.655
48.260181,99.63
48.609894,99.604
48.962143,99.577
49.31694,99.55
49.674313,99.523
50.034271,99.496
50.396843,99.469
50.762039,99.442
51.129883,99.414
51.500389,99.386
51.873581,99.357
52.249481,99.328
52.628101,99.297
53.009464,99.266
