* Freq(Hz), SPL(dB)
20,97.971
20.144928,97.939
20.290907,97.909
20.437943,97.88
20.586044,97.851
20.73522,97.823
20.885475,97.794
21.036821,97.765
21.189262,97.735
21.342808,97.704
21.497467,97.671
21.653246,97.638
21.810154,97.603
21.968201,97.567
22.12739,97.53
22.287735,97.493
22.449242,97.457
22.611917,97.421
22.775772,97.386
22.940815,97.351
23.107054,97.318
23.274498,97.285
23.443153,97.253
23.613033,97.221
23.784142,97.189
23.956491,97.157
24.130091,97.125
24.304947,97.094
24.481071,97.062
24.65847,97.03
24.837156,96.997
25.017136,96.965
25.198421,96.932
25.38102,96.899
25.564941,96.865
25.750195,96.831
25.93679,96.795
26.124741,96.759
26.314051,96.721
26.504732,96.683
26.696796,96.644
26.890253,96.603
27.085112,96.563
27.281382,96.521
27.479073,96.48
27.678198,96.438
27.878765,96.396
28.080786,96.354
28.284271,96.312
28.489231,96.271
28.695675,96.229
28.903616,96.188
29.113064,96.146
29.324028,96.104
29.536524,96.062
29.750557,96.019
29.966141,95.976
30.183289,95.933
30.40201,95.89
30.622314,95.847
30.844217,95.805
31.067726,95.763
31.292856,95.722
31.519617,95.682
31.74802,95.641
31.978081,95.601
32.209808,95.56
32.443211,95.519
32.67831,95.479
32.915108,95.439
33.153625,95.401
33.393871,95.363
33.635857,95.328
33.879597,95.294
34.125103,95.262
34.372387,95.231
34.621464,95.2
34.872345,95.171
35.125042,95.141
35.379574,95.113
35.635948,95.085
35.89418,95.059
36.154285,95.034
36.416275,95.012
36.680161,94.992
36.945961,94.974
37.213688,94.958
37.483353,94.945
37.754974,94.933
38.028561,94.922
38.304131,94.913
38.581699,94.906
38.861279,94.9
39.142883,94.896
39.426529,94.894
39.712231,94.893
40,94.896
40.289856,94.901
40.581814,94.908
40.875885,94.919
41.172089,94.932
41.47044,94.948
41.77095,94.966
42.073643,94.987
42.378525,95.011
42.685616,95.038
42.994934,95.069
43.306492,95.104
43.620308,95.142
43.936401,95.182
44.25478,95.224
44.57547,95.267
44.898483,95.311
45.223835,95.357
45.551544,95.404
45.88163,95.453
46.214108,95.505
46.548996,95.558
46.886307,95.611
47.226067,95.665
47.568283,95.718
47.912983,95.77
48.260181,95.822
48.609894,95.873
48.962143,95.924
49.31694,95.974
49.674313,96.025
50.034271,96.075
50.396843,96.124
50.762039,96.174
51.129883,96.223
51.500389,96.272
51.873581,96.32
52.249481,96.369
52.628101,96.417
53.009464,96.466
53.393593,96.515
53.780506,96.564
54.170223,96.613
54.562763,96.663
54.958145,96.712
55.356396,96.762
55.75753,96.812
56.161572,96.862
56.568542,96.912
56.978462,96.963
57.39135,97.015
57.807232,97.067
58.226128,97.119
58.648056,97.172
59.073048,97.224
59.501114,97.276
59.932281,97.327
60.366577,97.378
60.80402,97.428
61.244629,97.478
61.688435,97.526
62.135452,97.573
62.585712,97.62
63.039234,97.664
63.49604,97.708
63.956161,97.75
64.419617,97.791
64.886421,97.832
65.356621,97.871
65.830215,97.91
66.307251,97.947
66.787743,97.982
67.271713,98.016
67.759193,98.048
68.250206,98.078
68.744774,98.106
69.242928,98.132
69.74469,98.156
70.250084,98.178
70.759148,98.198
71.271896,98.216
71.788361,98.231
72.308571,98.245
72.83255,98.257
73.360321,98.266
73.891922,98.273
74.427376,98.277
74.966705,98.28
75.509949,98.28
76.057121,98.279
76.608261,98.276
77.163399,98.27
77.722557,98.262
78.285767,98.252
78.853058,98.238
79.424461,98.223
80,98.205
80.579712,98.184
81.163628,98.162
81.75177,98.137
82.344177,98.109
82.94088,98.08
83.541901,98.048
84.147285,98.013
84.75705,97.977
85.371231,97.938
85.989868,97.897
86.612984,97.853
87.240616,97.807
87.872803,97.759
88.50956,97.708
89.15094,97.655
89.796967,97.6
90.44767,97.542
91.103088,97.482
91.76326,97.419
92.428215,97.353
93.097992,97.285
93.772614,97.214
94.452133,97.14
95.136566,97.064
95.825966,96.986
96.520363,96.904
97.219788,96.82
97.924286,96.733
98.633881,96.642
99.348625,96.549
100.068542,96.454
100.793686,96.355
101.524078,96.254
102.259766,96.15
103.000778,96.043
103.747162,95.933
104.498962,95.82
105.256203,95.704
106.018929,95.585
106.787186,95.462
107.561012,95.336
108.340446,95.207
109.125526,95.075
109.91629,94.94
110.712791,94.802
111.51506,94.661
112.323143,94.517
113.137085,94.371
113.956924,94.224
114.7827,94.075
115.614464,93.926
116.452255,93.776
117.296112,93.627
118.146095,93.479
119.002228,93.334
119.864563,93.192
120.733154,93.054
121.60804,92.922
122.489258,92.797
123.376869,92.679
124.270905,92.57
125.171425,92.47
126.078468,92.381
