* Freq(Hz), SPL(dB)
20,95.23
20.144928,95.23
20.290907,95.23
20.437943,95.23
20.586044,95.23
20.73522,95.23
20.885475,95.23
21.036821,95.23
21.189262,95.23
21.342808,95.229
21.497467,95.229
21.653246,95.228
21.810154,95.228
21.968201,95.227
22.12739,95.227
22.287735,95.227
22.449242,95.228
22.611917,95.228
22.775772,95.228
22.940815,95.229
23.107054,95.229
23.274498,95.23
23.443153,95.231
23.613033,95.231
23.784142,95.232
23.956491,95.233
24.130091,95.234
24.304947,95.235
24.481071,95.235
24.65847,95.235
24.837156,95.235
25.017136,95.235
25.198421,95.235
25.38102,95.234
25.564941,95.233
25.750195,95.232
25.93679,95.231
26.124741,95.229
26.314051,95.228
26.504732,95.226
26.696796,95.224
26.890253,95.222
27.085112,95.221
27.281382,95.219
27.479073,95.217
27.678198,95.216
27.878765,95.214
28.080786,95.213
28.284271,95.212
28.489231,95.211
28.695675,95.21
28.903616,95.209
29.113064,95.208
29.324028,95.207
29.536524,95.207
29.750557,95.207
29.966141,95.207
30.183289,95.207
30.40201,95.207
30.622314,95.207
30.844217,95.208
31.067726,95.209
31.292856,95.21
31.519617,95.211
31.74802,95.212
31.978081,95.214
32.209808,95.215
32.443211,95.216
32.67831,95.218
32.915108,95.219
33.153625,95.22
33.393871,95.221
33.635857,95.222
33.879597,95.224
34.125103,95.225
34.372387,95.225
34.621464,95.226
34.872345,95.227
35.125042,95.227
35.379574,95.227
35.635948,95.227
35.89418,95.227
36.154285,95.226
36.416275,95.226
36.680161,95.225
36.945961,95.223
37.213688,95.222
37.483353,95.221
37.754974,95.219
38.028561,95.217
38.304131,95.215
38.581699,95.213
38.861279,95.21
39.142883,95.208
39.426529,95.205
39.712231,95.203
40,95.2
40.289856,95.197
40.581814,95.193
40.875885,95.19
41.172089,95.187
41.47044,95.183
41.77095,95.179
42.073643,95.175
42.378525,95.172
42.685616,95.168
42.994934,95.164
43.306492,95.159
43.620308,95.155
43.936401,95.151
44.25478,95.146
