frequency_hz,realab_target_db_1k_aligned,qr_peq_fit_db_1k_aligned,fit_minus_target_db
20.0,1.232657,1.294024,0.061367
20.231978,1.232657,1.291311,0.058654
20.466647,1.232657,1.288548,0.055891
20.704037,1.232657,1.285736,0.053079
20.944181,1.232657,1.282877,0.050219
21.187111,1.232657,1.279971,0.047314
21.432858,1.231657,1.277022,0.045364
21.681455,1.230657,1.27403,0.043373
21.932936,1.22988,1.270999,0.041119
22.187334,1.229657,1.267931,0.038274
22.444683,1.230629,1.264829,0.0342
22.705016,1.230657,1.261698,0.031041
22.968369,1.231657,1.25854,0.026883
23.234777,1.232421,1.25536,0.022939
23.504275,1.233657,1.252163,0.018506
23.776899,1.234615,1.248953,0.014338
24.052684,1.236212,1.245736,0.009524
24.331669,1.237657,1.242519,0.004861
24.613889,1.237657,1.239305,0.001648
24.899383,1.237657,1.236104,-0.001554
25.188189,1.237657,1.23292,-0.004737
25.480344,1.236116,1.229762,-0.006355
25.775888,1.234519,1.226636,-0.007883
26.07486,1.232187,1.22355,-0.008637
26.377299,1.229992,1.220512,-0.00948
26.683247,1.226798,1.21753,-0.009268
26.992743,1.22413,1.21461,-0.00952
27.305829,1.221409,1.211762,-0.009647
27.622547,1.218936,1.208993,-0.009943
27.942938,1.216339,1.20631,-0.010029
28.267045,1.214742,1.20372,-0.011022
28.594912,1.213144,1.20123,-0.011915
28.926581,1.211547,1.198846,-0.012702
29.262098,1.20995,1.196574,-0.013376
29.601506,1.209657,1.194418,-0.015239
29.944851,1.209657,1.192384,-0.017273
30.292178,1.209657,1.190475,-0.019182
30.643534,1.209753,1.188693,-0.02106
30.998965,1.21135,1.18704,-0.024311
31.358519,1.212948,1.185516,-0.027431
31.722243,1.214545,1.184122,-0.030423
32.090186,1.217142,1.182855,-0.034287
32.462397,1.218821,1.181714,-0.037107
32.838925,1.221336,1.180695,-0.040641
33.21982,1.222934,1.179793,-0.04314
33.605133,1.224531,1.179003,-0.045527
33.994916,1.227128,1.178318,-0.04881
34.389219,1.227725,1.177731,-0.049994
34.788096,1.229322,1.177233,-0.052089
35.1916,1.229657,1.176815,-0.052843
35.599784,1.229657,1.176466,-0.053191
36.012702,1.229201,1.176176,-0.053025
36.430409,1.228604,1.175933,-0.052671
36.852962,1.226355,1.175724,-0.050631
37.280416,1.224409,1.175538,-0.048871
37.712827,1.221967,1.175359,-0.046608
38.150255,1.218772,1.175174,-0.043598
38.592756,1.215538,1.174969,-0.040569
39.040389,1.211384,1.174727,-0.036656
39.493214,1.207189,1.174434,-0.032755
39.951292,1.203164,1.174072,-0.029091
40.414683,1.197944,1.173626,-0.024318
40.883449,1.19258,1.173076,-0.019504
41.357652,1.187166,1.172406,-0.01476
41.837355,1.180777,1.171596,-0.009181
42.322622,1.175206,1.170627,-0.004578
42.813518,1.169,1.169479,0.000479
43.310107,1.161611,1.16813,0.006519
43.812457,1.155222,1.166558,0.011335
44.320633,1.147628,1.16474,0.017112
44.834704,1.139642,1.162652,0.02301
45.354737,1.131656,1.160268,0.028613
45.880802,1.12367,1.157563,0.033894
46.412968,1.115089,1.154509,0.03942
46.951308,1.105698,1.151076,0.045378
47.495891,1.096923,1.147235,0.050312
48.046791,1.08634,1.142954,0.056614
48.604081,1.076757,1.1382,0.061443
49.167834,1.065593,1.132939,0.067346
49.738127,1.054235,1.127137,0.072902
50.315035,1.042232,1.120756,0.078523
50.898633,1.030052,1.113758,0.083706
